date,loblaw_price,loblaw_volume,metro_price,metro_volume,empa_price,empa_volume,gwl_price,gwl_volume,atd_price,atd_volume,tsx_price,tsx_volume,sp500_price,sp500_volume,BCPI,CPI,bank_interest,CEER,trend_grocery_store,trend_loblaws,trend_stock
1999-01-01,,,,,,,,,,,,,,,,,,95.43,,,
1999-01-04,,,,,,,,,,,,,,,,,,95.47,,,
1999-01-05,,,,,,,,,,,,,,,,,,95.84,,,
1999-01-06,,,,,,,,,,,,,,,,,,96.66,,,
1999-01-07,,,,,,,,,,,,,,,,,,96.46,,,
1999-01-08,,,,,,,,,,,,,,,,,,96.49,,,
1999-01-11,,,,,,,,,,,,,,,,,,96.87,,,
1999-01-12,,,,,,,,,,,,,,,,,,96.98,,,
1999-01-13,,,,,,,,,,,,,,,,,,96.04,,,
1999-01-14,,,,,,,,,,,,,,,,,,96.05,,,
1999-01-15,,,,,,,,,,,,,,,,,,96.29,,,
1999-01-18,,,,,,,,,,,,,,,,,,96.2,,,
1999-01-19,,,,,,,,,,,,,,,,,,96.18,,,
1999-01-20,,,,,,,,,,,,,,,,,,96.66,,,
1999-01-21,,,,,,,,,,,,,,,,,,97.39,,,
1999-01-22,,,,,,,,,,,,,,,,,,97.22,,,
1999-01-25,,,,,,,,,,,,,,,,,,97.39,,,
1999-01-26,,,,,,,,,,,,,,,,,,97.12,,,
1999-01-27,,,,,,,,,,,,,,,,,,97.29,,,
1999-01-28,,,,,,,,,,,,,,,,,,97.15,,,
1999-01-29,,,,,,,,,,,,,,,,,,98.45,,,
1999-02-01,,,,,,,,,,,,,,,,,,98.28,,,
1999-02-02,,,,,,,,,,,,,,,,,,97.61,,,
1999-02-03,,,,,,,,,,,,,,,,,,97.55,,,
1999-02-04,,,,,,,,,,,,,,,,,,98.89,,,
1999-02-05,,,,,,,,,,,,,,,,,,99.37,,,
1999-02-08,,,,,,,,,,,,,,,,,,99.49,,,
1999-02-09,,,,,,,,,,,,,,,,,,99.17,,,
1999-02-10,,,,,,,,,,,,,,,,,,99.11,,,
1999-02-11,,,,,,,,,,,,,,,,,,99.42,,,
1999-02-12,,,,,,,,,,,,,,,,,,99.17,,,
1999-02-15,,,,,,,,,,,,,,,,,,99.18,,,
1999-02-16,,,,,,,,,,,,,,,,,,99.04,,,
1999-02-17,,,,,,,,,,,,,,,,,,99.09,,,
1999-02-18,,,,,,,,,,,,,,,,,,99.97,,,
1999-02-19,,,,,,,,,,,,,,,,,,100.09,,,
1999-02-22,,,,,,,,,,,,,,,,,,99.68,,,
1999-02-23,,,,,,,,,,,,,,,,,,99.92,,,
1999-02-24,,,,,,,,,,,,,,,,,,99.87,,,
1999-02-25,,,,,,,,,,,,,,,,,,99.15,,,
1999-02-26,,,,,,,,,,,,,,,,,,99.09,,,
1999-03-01,,,,,,,,,,,,,,,,,,98.21,,,
1999-03-02,,,,,,,,,,,,,,,,,,98.53,,,
1999-03-03,,,,,,,,,,,,,,,,,,98.23,,,
1999-03-04,,,,,,,,,,,,,,,,,,98.5,,,
1999-03-05,,,,,,,,,,,,,,,,,,98.84,,,
1999-03-08,,,,,,,,,,,,,,,,,,98.74,,,
1999-03-09,,,,,,,,,,,,,,,,,,98.55,,,
1999-03-10,,,,,,,,,,,,,,,,,,97.83,,,
1999-03-11,,,,,,,,,,,,,,,,,,97.93,,,
1999-03-12,,,,,,,,,,,,,,,,,,97.79,,,
1999-03-15,,,,,,,,,,,,,,,,,,97.45,,,
1999-03-16,,,,,,,,,,,,,,,,,,97.38,,,
1999-03-17,,,,,,,,,,,,,,,,,,97.75,,,
1999-03-18,,,,,,,,,,,,,,,,,,97.81,,,
1999-03-19,,,,,,,,,,,,,,,,,,98.13,,,
1999-03-22,,,,,,,,,,,,,,,,,,98.8,,,
1999-03-23,,,,,,,,,,,,,,,,,,98.78,,,
1999-03-24,,,,,,,,,,,,,,,,,,98.88,,,
1999-03-25,,,,,,,,,,,,,,,,,,98.53,,,
1999-03-26,,,,,,,,,,,,,,,,,,98.58,,,
1999-03-29,,,,,,,,,,,,,,,,,,98.6,,,
1999-03-30,,,,,,,,,,,,,,,,,,98.59,,,
1999-03-31,,,,,,,,,,,,,,,,,,98.57,,,
1999-04-01,,,,,,,,,,,,,,,,,,99.31,,,
1999-04-02,,,,,,,,,,,,,,,,,,99.31,,,
1999-04-05,,,,,,,,,,,,,,,,,,99.62,,,
1999-04-06,,,,,,,,,,,,,,,,,,99.12,,,
1999-04-07,,,,,,,,,,,,,,,,,,99.42,,,
1999-04-08,,,,,,,,,,,,,,,,,,99.41,,,
1999-04-09,,,,,,,,,,,,,,,,,,99.32,,,
1999-04-12,,,,,,,,,,,,,,,,,,99.67,,,
1999-04-13,,,,,,,,,,,,,,,,,,99.94,,,
1999-04-14,,,,,,,,,,,,,,,,,,99.65,,,
1999-04-15,,,,,,,,,,,,,,,,,,99.92,,,
1999-04-16,,,,,,,,,,,,,,,,,,100.19,,,
1999-04-19,,,,,,,,,,,,,,,,,,100.37,,,
1999-04-20,,,,,,,,,,,,,,,,,,99.93,,,
1999-04-21,,,,,,,,,,,,,,,,,,100.1,,,
1999-04-22,,,,,,,,,,,,,,,,,,100.61,,,
1999-04-23,,,,,,,,,,,,,,,,,,100.79,,,
1999-04-26,,,,,,,,,,,,,,,,,,100.69,,,
1999-04-27,,,,,,,,,,,,,,,,,,100.73,,,
1999-04-28,,,,,,,,,,,,,,,,,,100.78,,,
1999-04-29,,,,,,,,,,,,,,,,,,101.45,,,
1999-04-30,,,,,,,,,,,,,,,,,,102.12,,,
1999-05-03,,,,,,,,,,,,,,,,,,102.7,,,
1999-05-04,,,,,,,,,,,,,,,,,,102.53,,,
1999-05-05,,,,,,,,,,,,,,,,,,102.2,,,
1999-05-06,,,,,,,,,,,,,,,,,,102.1,,,
1999-05-07,,,,,,,,,,,,,,,,,,101.94,,,
1999-05-10,,,,,,,,,,,,,,,,,,101.8,,,
1999-05-11,,,,,,,,,,,,,,,,,,102.23,,,
1999-05-12,,,,,,,,,,,,,,,,,,101.92,,,
1999-05-13,,,,,,,,,,,,,,,,,,102.05,,,
1999-05-14,,,,,,,,,,,,,,,,,,101.9,,,
1999-05-17,,,,,,,,,,,,,,,,,,102.16,,,
1999-05-18,,,,,,,,,,,,,,,,,,102.1,,,
1999-05-19,,,,,,,,,,,,,,,,,,101.86,,,
1999-05-20,,,,,,,,,,,,,,,,,,101.91,,,
1999-05-21,,,,,,,,,,,,,,,,,,102.44,,,
1999-05-24,,,,,,,,,,,,,,,,,,102.44,,,
1999-05-25,,,,,,,,,,,,,,,,,,102.48,,,
1999-05-26,,,,,,,,,,,,,,,,,,101.76,,,
1999-05-27,,,,,,,,,,,,,,,,,,101.59,,,
1999-05-28,,,,,,,,,,,,,,,,,,101.82,,,
1999-05-31,,,,,,,,,,,,,,,,,,101.42,,,
1999-06-01,,,,,,,,,,,,,,,,,,101.01,,,
1999-06-02,,,,,,,,,,,,,,,,,,101.35,,,
1999-06-03,,,,,,,,,,,,,,,,,,101.6,,,
1999-06-04,,,,,,,,,,,,,,,,,,102.04,,,
